client_id,confirm,start,step_1,step_2,step_3,group
555,0.0,7.0,32.0,99.0,20.0,Test
647,0.0,7.0,18.0,189.0,163.0,Test
934,0.0,47.333333333333336,0.0,0.0,0.0,Test
1336,0.0,25.0,26.0,51.0,109.0,Test
1346,0.0,31.8,101.0,49.0,85.0,Test
1516,0.0,22.666666666666668,45.0,168.0,256.0,Test
1643,0.0,49.333333333333336,30.5,582.0,30.0,Test
1755,0.0,63.5,35.0,33.0,56.0,Test
1836,192.0,20.75,80.0,27.0,57.0,Test
1936,0.0,26.25,13.0,35.5,9.5,Test
2720,0.0,86.5,0.0,0.0,0.0,Test
3232,0.0,14.0,13.0,266.0,27.0,Test
3572,0.0,10.0,54.0,110.0,81.0,Test
4369,0.0,11.0,26.0,47.0,548.0,Test
4484,0.0,489.0,52.0,191.0,225.5,Test
4603,0.0,5.0,25.0,32.0,97.0,Test
4717,0.0,14.0,47.5,111.0,81.0,Test
4870,0.0,5.0,293.0,91.0,23.0,Test
5845,0.0,9.5,46.0,96.5,963.0,Test
6022,0.0,251.0,132.0,0.0,0.0,Test
6904,0.0,8.0,30.0,48.0,39.0,Test
7561,0.0,14.5,16.0,83.0,0.0,Test
7563,0.0,163.0,43.0,87.0,22.0,Test
7657,0.0,3.0,99.0,64.0,21.0,Test
7723,0.0,26.0,133.0,96.0,56.0,Test
7934,0.0,30.0,18.0,0.0,0.0,Test
8023,0.0,6.0,0.0,0.0,0.0,Test
8055,0.0,22.0,82.0,52.0,141.0,Test
8610,0.0,18.0,0.0,0.0,0.0,Test
8712,0.0,36.5,5.5,609.0,0.0,Test
8820,0.0,11.0,72.0,158.0,177.0,Test
9751,0.0,12.5,8.5,40.5,0.0,Test
9916,0.0,7.0,8.0,29.0,24.0,Test
10363,0.0,56.0,0.0,0.0,0.0,Test
11040,0.0,8.0,41.0,44.0,27.0,Test
11309,0.0,10.0,25.0,126.0,37.0,Test
11880,0.0,22.8,74.0,88.0,30.0,Test
12785,0.0,23.0,20.0,73.0,900.0,Test
13735,42.0,11.0,8.0,53.0,87.0,Test
14690,0.0,95.0,25.0,0.0,0.0,Test
15050,0.0,22.0,60.0,59.0,39.0,Test
15189,0.0,8.0,28.0,89.0,22.0,Test
15753,0.0,832.6666666666666,23.0,12.5,76.0,Test
15807,0.0,10.0,42.0,53.0,51.0,Test
16098,0.0,5.0,17.0,56.0,44.0,Test
16295,0.0,27.666666666666668,79.66666666666667,103.0,84.0,Test
17170,0.0,26.0,43.0,101.0,95.0,Test
17318,0.0,15.0,82.0,24.0,149.0,Test
17404,0.0,7.0,8.0,28.0,56.0,Test
18549,0.0,4.0,13.0,119.0,17.0,Test
19060,0.0,14.0,19.0,50.0,87.0,Test
20185,0.0,172.16666666666666,21.3,239.9,354.0,Test
20564,0.0,14.0,82.0,124.0,91.75,Test
20643,0.0,7.0,38.0,56.0,17.0,Test
20668,0.0,3.5,0.0,0.0,0.0,Test
21200,0.0,12.0,74.0,46.0,169.0,Test
21281,0.0,24.0,51.0,30.0,139.0,Test
21403,0.0,43.333333333333336,0.0,0.0,0.0,Test
21522,0.0,64.14285714285714,32.333333333333336,47.5,43.5,Test
21596,0.0,10.5,152.0,61.0,65.0,Test
22007,347.0,14.0,48.0,42.0,134.0,Test
22793,0.0,11.0,20.0,0.0,0.0,Test
23914,0.0,14.0,8.0,80.0,17.0,Test
24443,0.0,63.0,31.0,252.8,132.5,Test
24572,0.0,4.5,88.0,79.0,153.0,Test
24703,0.0,10.0,36.0,126.0,131.0,Test
24841,0.0,12.0,57.0,101.0,47.0,Test
25022,0.0,39.0,71.0,133.0,325.0,Test
25026,104.0,11.0,43.0,251.0,132.0,Test
26036,0.0,3.0,10.0,33.0,15.0,Test
26070,0.0,35.0,19.0,229.0,94.0,Test
26105,0.0,25.5,22.0,39.0,40.0,Test
26696,0.0,142.5,0.0,0.0,0.0,Test
27075,0.0,9.0,11.0,23.0,32.0,Test
27764,0.0,34.5,122.0,249.0,64.0,Test
27907,0.0,4.0,6.0,52.0,309.0,Test
28241,363.0,16.0,67.0,101.0,94.0,Test
28371,0.0,7.0,22.5,272.0,27.0,Test
29227,106.0,58.333333333333336,50.0,37.0,66.0,Test
29527,0.0,15.0,70.0,91.5,90.0,Test
30318,0.0,65.0,71.0,141.5,45.0,Test
30493,0.0,90.5,41.333333333333336,26.0,267.0,Test
31336,0.0,4.5,6.0,31.25,19.5,Test
31404,0.0,12.0,42.0,88.0,56.0,Test
31499,0.0,64.0,57.5,202.0,53.0,Test
31597,0.0,27.5,24.333333333333332,27.0,156.5,Test
31766,0.0,53.333333333333336,473.5,2398.0,0.0,Test
32471,0.0,13.5,7.0,46.5,19.5,Test
32521,0.0,29.0,72.0,26.0,71.0,Test
32746,0.0,17.0,50.666666666666664,63.0,73.0,Test
33265,0.0,22.0,33.0,163.0,25.0,Test
33472,11.0,7.0,50.0,168.0,25.0,Test
33752,0.0,9.0,38.0,17.0,38.0,Test
34101,0.0,10.333333333333334,0.0,0.0,0.0,Test
34608,0.0,22.0,0.0,0.0,0.0,Test
35010,0.0,15.0,18.0,42.0,0.0,Test
35091,0.0,8.0,35.0,0.0,0.0,Test
35138,0.0,18.0,123.0,55.0,177.0,Test
35181,0.0,38.333333333333336,53.0,113.0,86.0,Test
35476,0.0,23.0,128.66666666666666,186.0,34.0,Test
35922,0.0,18.0,44.0,113.0,1216.0,Test
36342,0.0,13.0,21.0,143.0,51.0,Test
36363,0.0,5.0,57.0,83.0,122.0,Test
36430,128.0,39.0,23.0,85.5,239.33333333333334,Test
36432,0.0,14.0,9.5,161.0,0.0,Test
36555,0.0,200.75,104.0,122.0,1306.0,Test
36986,42.0,26.6,39.0,26.5,85.0,Test
37423,51.0,101.0,70.25,110.0,67.0,Test
37667,0.0,9.0,12.0,54.0,48.0,Test
37691,0.0,11.0,137.0,0.0,0.0,Test
37705,0.0,190.0,15.0,86.0,65.0,Test
37897,0.0,11.0,51.0,15.0,21.0,Test
38275,0.0,22.0,0.0,0.0,0.0,Test
38283,0.0,42.333333333333336,24.0,37.0,42.0,Test
38340,139.0,10.0,38.0,29.0,44.0,Test
38551,0.0,39.0,34.0,48.0,108.0,Test
38775,0.0,95.0,0.0,0.0,0.0,Test
39566,0.0,58.0,27.0,54.0,70.0,Test
40283,0.0,67.125,0.0,0.0,0.0,Test
40439,0.0,5.0,11.0,37.0,18.0,Test
40969,0.0,71.0,55.0,0.0,0.0,Test
41122,0.0,6.0,27.0,55.0,64.0,Test
41142,39.0,240.0,279.0,39.0,56.0,Test
41199,0.0,13.0,69.0,325.0,254.0,Test
41237,70.0,13.0,19.0,78.0,44.0,Test
41924,0.0,24.5,18.0,17.0,0.0,Test
42349,0.0,7.0,24.0,82.0,32.0,Test
42725,0.0,10.0,9.0,96.0,26.0,Test
43645,119.0,6.0,21.0,41.0,88.0,Test
44705,0.0,13.666666666666666,1201.5,248.0,34.0,Test
44932,0.0,10.0,26.0,81.0,21.0,Test
44995,0.0,15.0,0.0,0.0,0.0,Test
45131,379.0,64.5,113.5,43.5,1012.0,Test
45232,0.0,133.0,43.0,46.0,91.0,Test
45485,0.0,67.0,74.0,64.0,298.3333333333333,Test
45510,0.0,4.5,14.5,49.0,20.5,Test
46790,0.0,7.0,7.0,45.0,0.0,Test
46934,0.0,24.0,0.0,0.0,0.0,Test
47860,0.0,129.0,67.0,104.0,777.5,Test
48448,0.0,3.0,34.0,19.0,41.0,Test
48724,0.0,38.8,15.0,151.5,40.0,Test
49709,0.0,51.0,10.0,15.0,74.25,Test
49998,0.0,344.0,0.0,0.0,0.0,Test
50053,0.0,10.0,46.0,94.0,141.0,Test
50090,0.0,12.0,30.0,41.0,36.0,Test
50325,0.0,7.0,49.0,27.0,67.0,Test
50599,0.0,25.0,0.0,0.0,0.0,Test
51493,0.0,6.0,23.0,70.0,350.0,Test
51526,0.0,314.3333333333333,21.0,138.0,590.0,Test
52309,0.0,71.0,24.0,4.0,0.0,Test
52743,0.0,11.666666666666666,16.0,26.666666666666668,12.0,Test
53396,221.0,8.0,16.0,45.0,22.0,Test
54231,0.0,12.0,34.0,54.0,80.0,Test
54893,0.0,3.0,9.0,42.0,15.0,Test
55059,0.0,10.0,10.0,71.0,46.0,Test
55265,0.0,10.0,4.0,87.5,59.0,Test
55333,29.0,3.0,32.0,60.0,21.0,Test
55951,0.0,205.0,0.0,0.0,0.0,Test
56294,0.0,6.5,75.0,48.0,19.0,Test
56570,0.0,47.5,286.5,58.0,110.0,Test
56923,0.0,27.0,7.0,51.5,44.0,Test
58194,0.0,7.0,23.0,69.0,257.5,Test
58867,0.0,7.0,43.0,60.0,1072.0,Test
58962,0.0,8.0,47.333333333333336,128.0,29.0,Test
59152,0.0,7.0,18.0,67.0,25.0,Test
59360,0.0,202.0,111.0,87.0,153.0,Test
59802,0.0,24.0,7.5,49.5,64.5,Test
60101,0.0,8.0,8.0,35.0,37.0,Test
60483,0.0,7.0,11.0,78.0,20.0,Test
60802,0.0,8.333333333333334,69.5,71.0,116.0,Test
60958,0.0,31.0,0.0,0.0,0.0,Test
61007,0.0,41.666666666666664,0.0,0.0,0.0,Test
61487,0.0,26.0,28.0,22.0,67.0,Test
61650,0.0,48.333333333333336,31.0,31.0,50.0,Test
61961,0.0,20.0,38.5,42.0,78.0,Test
62284,0.0,107.0,18.0,109.0,119.0,Test
62754,0.0,115.0,25.0,28.0,33.0,Test
62791,0.0,13.0,22.0,25.0,74.0,Test
62805,0.0,8.0,25.0,188.0,37.0,Test
63507,0.0,4.0,31.0,125.0,70.0,Test
63796,0.0,182.0,124.25,7.0,554.0,Test
63879,0.0,39.666666666666664,14.0,43.0,23.0,Test
63955,0.0,13.0,137.0,36.0,64.0,Test
64058,0.0,16.0,50.0,36.0,40.0,Test
64885,0.0,14.0,0.0,0.0,0.0,Test
65221,0.0,10.0,74.0,32.0,40.0,Test
66160,62.0,7.0,5.0,50.0,19.0,Test
66539,0.0,7.0,14.0,112.0,30.0,Test
66930,0.0,9.0,33.5,19.0,66.0,Test
67390,0.0,62.0,235.0,43.0,69.0,Test
67452,0.0,40.0,56.0,18.0,85.0,Test
67845,0.0,21.0,0.0,0.0,0.0,Test
67925,75.0,35.666666666666664,51.0,28.0,85.0,Test
68276,0.0,10.0,18.0,12.0,106.0,Test
68884,0.0,171.8,101.0,55.0,254.0,Test
68886,0.0,5.0,15.0,57.0,39.0,Test
69568,0.0,33.0,10.0,33.0,0.0,Test
70576,0.0,89.0,83.75,192.66666666666666,1082.0,Test
71159,0.0,21.0,0.0,0.0,0.0,Test
72074,0.0,18.666666666666668,51.0,42.333333333333336,50.0,Test
72388,0.0,10.0,68.0,55.0,0.0,Test
72395,0.0,6.0,55.5,99.0,52.0,Test
72915,0.0,4.0,13.0,65.0,52.0,Test
72916,0.0,4.0,57.0,102.0,81.0,Test
73615,0.0,8.0,19.0,60.0,137.0,Test
73648,0.0,12.0,12.0,61.0,33.0,Test
74564,0.0,10.0,17.0,93.0,35.0,Test
74844,0.0,356.0,38.0,28.0,85.0,Test
74976,0.0,15.333333333333334,45.0,190.0,22.0,Test
75033,0.0,21.0,20.0,29.0,105.0,Test
75490,0.0,4.0,9.0,50.0,18.0,Test
76429,0.0,5.0,86.5,68.0,20.0,Test
76481,0.0,27.375,78.33333333333333,30.0,155.0,Test
76635,0.0,81.0,12.333333333333334,38.5,0.0,Test
76775,0.0,13.0,0.0,0.0,0.0,Test
77276,0.0,3.0,27.0,21.0,20.0,Test
