client_id,study_group,highest_step_reached,step_hierarchy,completed_process,total_backwards_movements,encountered_errors,calls_6_mnth,gendr,logons_6_mnth,clnt_age,bal,clnt_tenure_yr
4192640,Test,step_2,3,No,2.0,Yes,3.0,M,6.0,54.0,97914.4,14.0
6752370,Test,step_2,3,No,2.0,Yes,2.0,M,5.0,22.0,56574.43,38.0
2685910,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,57.5,135363.65,12.0
3910683,Test,start,1,No,0.0,No,6.0,U,9.0,24.0,65233.3,5.0
2376452,Test,confirm,5,Yes,1.0,Yes,6.0,F,9.0,54.5,1073878.77,20.0
2349521,Test,confirm,5,Yes,3.0,Yes,6.0,U,9.0,61.5,37230.82,6.0
6751813,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,60.5,183459.21,21.0
5616882,Test,start,1,No,0.0,No,6.0,U,9.0,31.0,89573.75,5.0
9900469,Test,start,1,No,0.0,No,6.0,U,9.0,32.0,144755.6,4.0
7794004,Test,confirm,5,Yes,0.0,No,6.0,U,9.0,51.5,40948.01,5.0
6868337,Test,confirm,5,Yes,0.0,No,6.0,F,9.0,24.5,46846.38,11.0
841699,Test,confirm,5,Yes,1.0,Yes,3.0,M,6.0,60.5,69909.01,21.0
6988663,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,46.5,36605.79,4.0
92137,Test,confirm,5,Yes,0.0,No,4.0,U,7.0,24.5,63038.48,6.0
4815171,Test,confirm,5,Yes,4.0,Yes,6.0,M,9.0,54.5,249727.91,15.0
4534151,Test,step_1,2,No,0.0,No,6.0,U,9.0,27.0,60506.61,6.0
372139,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,69.5,216451.21,5.0
3087062,Test,confirm,5,Yes,0.0,No,1.0,M,4.0,29.5,76349.08,5.0
6194477,Test,confirm,5,Yes,1.0,Yes,6.0,M,9.0,47.5,207511.84,21.0
1767602,Test,confirm,5,Yes,0.0,No,6.0,M,9.0,59.5,150383.37,8.0
9149076,Test,step_1,2,No,2.0,Yes,1.0,U,4.0,23.0,50491.12,4.0
5197285,Test,confirm,5,Yes,0.0,No,5.0,U,8.0,23.5,74966.01,7.0
